scenario,block_position,missing_rate,method,mae,rmse,r2
block_start,start,0.80,random_forest,1.717852,2.412441,-0.461700
block_middle,middle,0.10,forward_fill,0.423448,0.446635,-8.887956
block_middle,middle,0.10,linear_interpolation,0.167356,0.223009,-1.465173
block_middle,middle,0.10,time_interpolation,0.167356,0.223009,-1.465173
block_middle,middle,0.10,cubic_interpolation,0.151275,0.186985,-0.733067
block_middle,middle,0.10,spline_interpolation,0.151275,0.186985,-0.733067
block_middle,middle,0.10,knn,1.496313,2.224493,-244.280682
block_middle,middle,0.10,decision_tree,0.108110,0.132160,0.134227
block_middle,middle,0.10,random_forest,0.372575,0.398731,-6.880641
block_middle,middle,0.20,forward_fill,0.338448,0.402944,-1.861601
block_middle,middle,0.20,linear_interpolation,0.365362,0.432525,-2.297182
block_middle,middle,0.20,time_interpolation,0.365362,0.432525,-2.297182
block_middle,middle,0.20,cubic_interpolation,1.021487,1.231027,-25.708849
block_middle,middle,0.20,spline_interpolation,1.021487,1.231027,-25.708849
block_middle,middle,0.20,knn,2.435829,3.042877,-162.188130
block_middle,middle,0.20,decision_tree,0.365115,0.430281,-2.263051
block_middle,middle,0.20,random_forest,0.615377,0.659869,-6.674240
block_middle,middle,0.30,forward_fill,0.672326,0.742679,-4.307776
block_middle,middle,0.30,linear_interpolation,0.255437,0.305240,0.103411
block_middle,middle,0.30,time_interpolation,0.255437,0.305240,0.103411
block_middle,middle,0.30,cubic_interpolation,1.290236,1.444848,-19.088818
block_middle,middle,0.30,spline_interpolation,1.290236,1.444848,-19.088818
block_middle,middle,0.30,knn,2.740272,3.236422,-99.795405
block_middle,middle,0.30,decision_tree,0.833821,1.251246,-14.065926
block_middle,middle,0.30,random_forest,0.673791,0.744064,-4.327589
block_middle,middle,0.40,forward_fill,1.045217,1.132375,-5.756143
block_middle,middle,0.40,linear_interpolation,0.266528,0.309238,0.496148
block_middle,middle,0.40,time_interpolation,0.266528,0.309238,0.496148
block_middle,middle,0.40,cubic_interpolation,0.719234,0.795515,-2.334381
block_middle,middle,0.40,spline_interpolation,0.719234,0.795515,-2.334381
block_middle,middle,0.40,knn,2.743555,3.194449,-52.766328
block_middle,middle,0.40,decision_tree,0.785304,0.897595,-3.245018
block_middle,middle,0.40,random_forest,1.169002,1.247541,-7.200272
block_middle,middle,0.50,forward_fill,2.134444,2.246830,-9.252452
block_middle,middle,0.50,linear_interpolation,0.547284,0.598707,0.272026
block_middle,middle,0.50,time_interpolation,0.547284,0.598707,0.272026
block_middle,middle,0.50,cubic_interpolation,0.972260,1.110598,-1.504961
block_middle,middle,0.50,spline_interpolation,0.972260,1.110598,-1.504961
block_middle,middle,0.50,knn,2.920770,3.272704,-20.752065
block_middle,middle,0.50,decision_tree,1.891556,2.017517,-7.266501
block_middle,middle,0.50,random_forest,2.313462,2.417540,-10.869560
block_middle,middle,0.60,forward_fill,2.520289,2.762221,-4.834609
block_middle,middle,0.60,linear_interpolation,0.539469,0.624702,0.701571
block_middle,middle,0.60,time_interpolation,0.539469,0.624702,0.701571
block_middle,middle,0.60,cubic_interpolation,5.807793,6.296856,-29.320934
block_middle,middle,0.60,spline_interpolation,5.807793,6.296856,-29.320934
block_middle,middle,0.60,knn,2.600751,3.048280,-6.105665
block_middle,middle,0.60,decision_tree,2.610607,2.850081,-5.211683
block_middle,middle,0.60,random_forest,2.711997,2.943233,-5.624365
block_middle,middle,0.70,forward_fill,3.881733,4.155362,-6.851568
block_middle,middle,0.70,linear_interpolation,0.967061,1.130256,0.419112
block_middle,middle,0.70,time_interpolation,0.967061,1.130256,0.419112
block_middle,middle,0.70,cubic_interpolation,8.602129,9.649897,-41.343235
block_middle,middle,0.70,spline_interpolation,8.602129,9.649897,-41.343235
block_middle,middle,0.70,knn,2.529824,3.090112,-3.341972
block_middle,middle,0.70,decision_tree,1.983119,2.385289,-1.587145
block_middle,middle,0.70,random_forest,4.154701,4.411431,-7.849072
block_middle,middle,0.80,forward_fill,4.480957,4.828179,-5.912441
block_middle,middle,0.80,linear_interpolation,1.437030,1.575938,0.263550
block_middle,middle,0.80,time_interpolation,1.437030,1.575938,0.263550
block_middle,middle,0.80,cubic_interpolation,5.332947,6.188114,-10.354847
block_middle,middle,0.80,spline_interpolation,5.332947,6.188114,-10.354847
block_middle,middle,0.80,knn,2.363197,2.984188,-1.640688
block_middle,middle,0.80,decision_tree,1.881652,2.465237,-0.802113
block_middle,middle,0.80,random_forest,4.435213,4.782667,-5.782737
block_end,end,0.10,forward_fill,0.500000,0.688006,-1.038228
block_end,end,0.10,linear_interpolation,0.196977,0.252333,0.725832
block_end,end,0.10,time_interpolation,0.196977,0.252333,0.725832
block_end,end,0.10,cubic_interpolation,0.181154,0.231963,0.768311
block_end,end,0.10,spline_interpolation,0.219478,0.276524,0.670743
block_end,end,0.10,knn,0.626196,0.896914,-2.463940
block_end,end,0.10,decision_tree,0.577701,0.752313,-1.437061
block_end,end,0.10,random_forest,0.839245,0.967765,-3.032817
block_end,end,0.20,forward_fill,0.781897,0.964173,-1.057329
block_end,end,0.20,linear_interpolation,0.353793,0.394000,0.656453
block_end,end,0.20,time_interpolation,0.353793,0.394000,0.656453
block_end,end,0.20,cubic_interpolation,0.307639,0.351382,0.726755
block_end,end,0.20,spline_interpolation,0.410821,0.450142,0.551572
block_end,end,0.20,knn,1.497735,1.781370,-6.022671
block_end,end,0.20,decision_tree,0.776879,0.902290,-0.801716
block_end,end,0.20,random_forest,0.894498,1.080723,-1.584773
block_end,end,0.30,forward_fill,0.777209,0.914151,-0.983577
block_end,end,0.30,linear_interpolation,1.049563,1.198046,-2.406905
block_end,end,0.30,time_interpolation,1.049563,1.198046,-2.406905
block_end,end,0.30,cubic_interpolation,0.764224,0.868886,-0.792005
block_end,end,0.30,spline_interpolation,0.667062,0.769711,-0.406269
block_end,end,0.30,knn,2.234110,2.564383,-14.609146
block_end,end,0.30,decision_tree,1.038651,1.156458,-2.174484
block_end,end,0.30,random_forest,1.032106,1.182750,-2.320466
block_end,end,0.40,forward_fill,1.322957,1.520743,-3.016677
block_end,end,0.40,linear_interpolation,1.248091,1.450467,-2.654019
block_end,end,0.40,time_interpolation,1.248091,1.450467,-2.654019
block_end,end,0.40,cubic_interpolation,2.372090,2.662934,-11.316183
block_end,end,0.40,spline_interpolation,2.923715,3.250883,-17.355148
block_end,end,0.40,knn,2.762509,3.098139,-15.670821
block_end,end,0.40,decision_tree,1.189942,1.415679,-2.480846
block_end,end,0.40,random_forest,1.026029,1.248723,-1.708240
block_end,end,0.50,forward_fill,0.883333,1.152156,-1.205488
block_end,end,0.50,linear_interpolation,0.943836,1.213756,-1.447626
block_end,end,0.50,time_interpolation,0.943836,1.213756,-1.447626
block_end,end,0.50,cubic_interpolation,4.536216,5.051840,-41.401493
block_end,end,0.50,spline_interpolation,6.349068,6.949935,-79.249721
block_end,end,0.50,knn,3.057264,3.350507,-17.651037
block_end,end,0.50,decision_tree,0.817639,1.087308,-0.964207
block_end,end,0.50,random_forest,0.933388,1.204096,-1.408820
block_end,end,0.60,forward_fill,1.222023,1.460144,-2.338164
block_end,end,0.60,linear_interpolation,1.022023,1.256734,-1.472878
block_end,end,0.60,time_interpolation,1.022023,1.256734,-1.472878
block_end,end,0.60,cubic_interpolation,0.805150,0.992051,-0.540933
block_end,end,0.60,spline_interpolation,0.722704,0.818569,-0.049125
block_end,end,0.60,knn,3.048956,3.324900,-16.309051
