method,mae,scenario,block_position,missing_rate
time_interpolation,0.255437,block_middle,middle,0.30
cubic_interpolation,1.290236,block_middle,middle,0.30
spline_interpolation,1.290236,block_middle,middle,0.30
knn,2.740272,block_middle,middle,0.30
decision_tree,0.833821,block_middle,middle,0.30
random_forest,0.673791,block_middle,middle,0.30
forward_fill,1.045217,block_middle,middle,0.40
linear_interpolation,0.266528,block_middle,middle,0.40
time_interpolation,0.266528,block_middle,middle,0.40
cubic_interpolation,0.719234,block_middle,middle,0.40
spline_interpolation,0.719234,block_middle,middle,0.40
knn,2.743555,block_middle,middle,0.40
decision_tree,0.785304,block_middle,middle,0.40
random_forest,1.169002,block_middle,middle,0.40
forward_fill,2.134444,block_middle,middle,0.50
linear_interpolation,0.547284,block_middle,middle,0.50
time_interpolation,0.547284,block_middle,middle,0.50
cubic_interpolation,0.972260,block_middle,middle,0.50
spline_interpolation,0.972260,block_middle,middle,0.50
knn,2.920770,block_middle,middle,0.50
decision_tree,1.891556,block_middle,middle,0.50
random_forest,2.313462,block_middle,middle,0.50
forward_fill,2.520289,block_middle,middle,0.60
linear_interpolation,0.539469,block_middle,middle,0.60
time_interpolation,0.539469,block_middle,middle,0.60
cubic_interpolation,5.807793,block_middle,middle,0.60
spline_interpolation,5.807793,block_middle,middle,0.60
knn,2.600751,block_middle,middle,0.60
decision_tree,2.610607,block_middle,middle,0.60
random_forest,2.711997,block_middle,middle,0.60
forward_fill,3.881733,block_middle,middle,0.70
linear_interpolation,0.967061,block_middle,middle,0.70
time_interpolation,0.967061,block_middle,middle,0.70
cubic_interpolation,8.602129,block_middle,middle,0.70
spline_interpolation,8.602129,block_middle,middle,0.70
knn,2.529824,block_middle,middle,0.70
decision_tree,1.983119,block_middle,middle,0.70
random_forest,4.154701,block_middle,middle,0.70
forward_fill,4.480957,block_middle,middle,0.80
linear_interpolation,1.437030,block_middle,middle,0.80
time_interpolation,1.437030,block_middle,middle,0.80
cubic_interpolation,5.332947,block_middle,middle,0.80
spline_interpolation,5.332947,block_middle,middle,0.80
knn,2.363197,block_middle,middle,0.80
decision_tree,1.881652,block_middle,middle,0.80
random_forest,4.435213,block_middle,middle,0.80
forward_fill,0.500000,block_end,end,0.10
linear_interpolation,0.196977,block_end,end,0.10
time_interpolation,0.196977,block_end,end,0.10
cubic_interpolation,0.219478,block_end,end,0.10
spline_interpolation,0.219478,block_end,end,0.10
knn,0.626196,block_end,end,0.10
decision_tree,0.577701,block_end,end,0.10
random_forest,0.839245,block_end,end,0.10
forward_fill,0.781897,block_end,end,0.20
linear_interpolation,0.353793,block_end,end,0.20
time_interpolation,0.353793,block_end,end,0.20
cubic_interpolation,0.410821,block_end,end,0.20
spline_interpolation,0.410821,block_end,end,0.20
knn,1.497735,block_end,end,0.20
decision_tree,0.776879,block_end,end,0.20
random_forest,0.894498,block_end,end,0.20
forward_fill,0.777209,block_end,end,0.30
linear_interpolation,1.049563,block_end,end,0.30
time_interpolation,1.049563,block_end,end,0.30
cubic_interpolation,0.667062,block_end,end,0.30
spline_interpolation,0.667062,block_end,end,0.30
